start_time,end_time,value
2020-12-31T21:00:00+0000,2020-12-31T22:00:00+0000,0.000000
2020-12-31T22:00:00+0000,2020-12-31T23:00:00+0000,0.000000
2020-12-31T23:00:00+0000,2021-01-01T00:00:00+0000,0.000000
